_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,minDistance
5011722,2017-06-21 19:34:41.703,CA,AB,Edmonton,53.51780,-113.55200,POI1,5.398951312541647
5017667,2017-06-21 18:34:56.767,CA,AB,Edmonton,53.52223,-113.51848,POI1,3.431513486413938
4923717,2017-06-21 17:29:36.313,CA,AB,Edmonton,53.52382,-113.49352,POI1,2.538385320944462
4890136,2017-06-21 13:26:34.740,CA,AB,Sherwood Park,53.53580,-113.31782,POI1,11.158529412067557
5086636,2017-06-21 13:39:55.807,CA,AB,Edmonton,53.54510,-113.51200,POI1,1.7399933600491397
4655881,2017-06-21 10:07:51.903,CA,AB,Edmonton,53.58430,-113.41603,POI1,6.26046640137818
5160273,2017-06-21 12:45:06.150,CA,AB,Edmonton,53.58700,-113.44100,POI1,5.418547293523865
4642767,2017-06-21 22:07:05.143,CA,AB,Edmonton,53.60750,-113.48717,POI1,6.822718510464213
4736988,2017-06-21 20:14:23.737,CA,AB,Saint Albert,53.64150,-113.61400,POI1,13.569869369366462
4622636,2017-06-21 13:05:47.410,CA,AB,Fort Mcmurray,56.68414,-111.35061,POI1,374.48734087636063
5219338,2017-06-21 14:49:24.153,CA,BC,Victoria,48.41391,-123.37833,POI1,896.2739806090116
4601796,2017-06-21 06:04:14.717,CA,BC,Richmond,49.16542,-123.12659,POI1,827.0385607359234
5533850,2017-06-21 21:16:24.190,CA,BC,Burnaby,49.26664,-123.00925,POI1,813.2938911223188
5470221,2017-06-21 18:10:36.527,CA,BC,Fort St John,56.33056,-121.04048,POI1,573.0531943650668
5481134,2017-06-21 16:11:26.507,CA,MB,Winnipeg,49.78000,-97.17300,POI1,1197.6168774667024
5607800,2017-06-21 03:22:10.590,CA,MB,Winnipeg,49.94290,-97.16510,POI1,1190.0920461845142
5486568,2017-06-21 04:11:51.430,CA,MB,Winnipeg,49.94395,-97.06453,POI1,1196.5175516544673
4623770,2017-06-21 17:05:47.203,CA,NB,Moncton,46.10330,-64.81500,POI4,157.0802773358702
4848958,2017-06-21 09:23:06.983,CA,ON,London,43.00610,-81.29620,POI3,675.9602776478756
4595684,2017-06-21 04:03:40.187,CA,ON,Ancaster,43.20800,-79.96520,POI3,569.9906689858149
5360354,2017-06-21 04:59:23.807,CA,ON,Kitchener,43.41340,-80.49600,POI3,597.7280004904158
5393733,2017-06-21 07:02:18.537,CA,ON,Oakville,43.43090,-79.77670,POI3,544.8222915808656
4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.43970,-80.43400,POI3,591.9485187968997
4856850,2017-06-21 11:23:44.600,CA,ON,Mississauga,43.53550,-79.69150,POI3,533.4136180589468
4739896,2017-06-21 10:14:37.337,CA,ON,Mississauga,43.53640,-79.69090,POI3,533.3255571069602
5291772,2017-06-21 08:54:44.640,CA,ON,Mississauga,43.57690,-79.62830,POI3,526.800922838149
4742795,2017-06-21 17:14:48.240,CA,ON,Etobicoke,43.63781,-79.54080,POI3,517.4891956834083
5568799,2017-06-21 10:19:06.167,CA,ON,Etobicoke,43.63810,-79.57870,POI3,520.2197344048177
4703484,2017-06-21 03:11:48.283,CA,ON,Toronto,43.64660,-79.44930,POI3,510.44309873370474
